GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
esms,com.penguin.esms,CustomHikariConfig,0,8,0,0,0,2,0,2,0,2
esms,com.penguin.esms,EsmsApplication,5,3,0,0,2,1,1,1,1,1
esms,com.penguin.esms.dto,BaseDTO,0,3,0,0,0,1,0,1,0,1
esms,com.penguin.esms.components.warrantyProduct,WarrantyProductController,3,0,0,0,1,0,1,0,1,0
esms,com.penguin.esms.components.warrantyProduct,WarrantyProductEntity,7,31,0,0,1,6,2,9,2,9
esms,com.penguin.esms.components.warrantyProduct,WarrantyProductConfig,0,6,0,0,0,2,0,3,0,3
esms,com.penguin.esms.components.warrantyProduct,WarrantyProductService,0,15,0,0,0,1,0,1,0,1
esms,com.penguin.esms.components.category.response,FoundCategoryItem,26,0,0,0,5,0,6,0,6,0
esms,com.penguin.esms.services,AmazonS3Service,43,13,0,0,8,4,5,1,5,1
esms,com.penguin.esms.components.permission.dto,ItemPermission,120,0,12,0,11,0,18,0,12,0
esms,com.penguin.esms.components.permission.dto,PermissionRequest,31,0,0,0,6,0,9,0,9,0
esms,com.penguin.esms.components.category.request,CategoryRequest,10,0,0,0,3,0,3,0,3,0
esms,com.penguin.esms.components.warrantyBill.dto,WarrantyBillDTO,64,39,0,0,12,7,4,10,4,10
esms,com.penguin.esms.components.authentication.requests,AuthenticationRequest,0,17,0,0,0,4,0,5,0,5
esms,com.penguin.esms.components.authentication.requests,RegisterRequest,0,45,0,0,0,8,0,13,0,13
esms,com.penguin.esms.components.importProduct,ImportProductController,0,3,0,0,0,1,0,1,0,1
esms,com.penguin.esms.components.importProduct,ImportProductEntity,15,31,0,0,1,6,1,9,1,9
esms,com.penguin.esms.components.importProduct,ImportProductConfig,0,6,0,0,0,2,0,3,0,3
esms,com.penguin.esms.components.importProduct,ImportProductService,0,15,0,0,0,1,0,1,0,1
esms,com.penguin.esms.components.token,TokenType,0,9,0,0,0,2,0,1,0,1
esms,com.penguin.esms.components.token,Token.TokenBuilder,21,44,0,0,0,1,2,7,2,7
esms,com.penguin.esms.components.token,Token,240,42,46,0,6,5,37,5,14,5
esms,com.penguin.esms.envers,AuditEnverInfoController,0,3,0,0,0,1,0,1,0,1
esms,com.penguin.esms.envers,UserRevisionListener,0,31,1,5,0,11,1,5,0,3
esms,com.penguin.esms.envers,AuditEnversInfo,0,17,0,0,0,4,0,5,0,5
esms,com.penguin.esms.envers,AuditEnverInfoService,6,0,0,0,1,0,1,0,1,0
esms,com.penguin.esms.envers,AuditReaderCustom,39,0,0,0,19,0,19,0,19,0
esms,com.penguin.esms.config,SecurityConfiguration,0,137,0,0,0,19,0,5,0,5
esms,com.penguin.esms.config,WebConfig,0,61,0,0,0,5,0,2,0,2
esms,com.penguin.esms.config,ApplicationConfig,0,47,0,0,0,10,0,8,0,8
esms,com.penguin.esms.components.supplier,SupplierConfig,0,6,0,0,0,2,0,3,0,3
